python -m agents.afterstate_trainer --selfplay 2000000 --alpha 0.1 --alpha-final 0.001 --epsilon-start 1.0 --epsilon-min 0.001 --gamma 1.0 --seed 1 --output trained_models/w_100_s1_1m.npy --mix 0               
W-table initialised: 2154 terminal winning states set to 1.0 (1.9% of 113028 states).

Phase 2: 2000000 self-play episodes (update=mc, gamma=1.0, eps 1.0 -> 0.001, alpha 0.1 -> 0.001)...
  Ep    5000/2000000 | eps=0.9829 | alpha=0.0989 | vs Random: 95.0%W/5.0%L/0.0%D | vs Naive: 8.5%W/90.5%L/1.0%D | 10s
  Ep   10000/2000000 | eps=0.9661 | alpha=0.0977 | vs Random: 98.0%W/2.0%L/0.0%D | vs Naive: 10.0%W/90.0%L/0.0%D | 26s
  Ep   15000/2000000 | eps=0.9495 | alpha=0.0966 | vs Random: 95.0%W/5.0%L/0.0%D | vs Naive: 11.5%W/87.0%L/1.5%D | 39s
  Ep   20000/2000000 | eps=0.9333 | alpha=0.0955 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 16.5%W/82.5%L/1.0%D | 54s
  Ep   25000/2000000 | eps=0.9173 | alpha=0.0944 | vs Random: 97.5%W/2.5%L/0.0%D | vs Naive: 16.5%W/82.5%L/1.0%D | 67s
  Ep   30000/2000000 | eps=0.9016 | alpha=0.0933 | vs Random: 98.0%W/2.0%L/0.0%D | vs Naive: 17.5%W/82.5%L/0.0%D | 79s
  Ep   35000/2000000 | eps=0.8861 | alpha=0.0923 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 23.0%W/74.5%L/2.5%D | 92s
  Ep   40000/2000000 | eps=0.8710 | alpha=0.0912 | vs Random: 97.5%W/2.5%L/0.0%D | vs Naive: 17.0%W/82.5%L/0.5%D | 104s
  Ep   45000/2000000 | eps=0.8561 | alpha=0.0902 | vs Random: 97.5%W/2.5%L/0.0%D | vs Naive: 22.0%W/77.5%L/0.5%D | 116s
  Ep   50000/2000000 | eps=0.8414 | alpha=0.0891 | vs Random: 97.5%W/2.5%L/0.0%D | vs Naive: 22.5%W/76.0%L/1.5%D | 127s
  Ep   55000/2000000 | eps=0.8270 | alpha=0.0881 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 26.0%W/73.5%L/0.5%D | 139s
  Ep   60000/2000000 | eps=0.8128 | alpha=0.0871 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 21.0%W/78.0%L/1.0%D | 151s
  Ep   65000/2000000 | eps=0.7989 | alpha=0.0861 | vs Random: 97.5%W/2.5%L/0.0%D | vs Naive: 27.5%W/72.0%L/0.5%D | 163s
  Ep   70000/2000000 | eps=0.7852 | alpha=0.0851 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 32.5%W/67.0%L/0.5%D | 174s
  Ep   75000/2000000 | eps=0.7718 | alpha=0.0841 | vs Random: 98.0%W/2.0%L/0.0%D | vs Naive: 32.5%W/65.5%L/2.0%D | 185s
  Ep   80000/2000000 | eps=0.7586 | alpha=0.0832 | vs Random: 96.5%W/3.5%L/0.0%D | vs Naive: 29.0%W/69.0%L/2.0%D | 196s
  Ep   85000/2000000 | eps=0.7456 | alpha=0.0822 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 39.5%W/58.5%L/2.0%D | 207s
  Ep   90000/2000000 | eps=0.7328 | alpha=0.0813 | vs Random: 97.0%W/3.0%L/0.0%D | vs Naive: 40.0%W/58.0%L/2.0%D | 218s
  Ep   95000/2000000 | eps=0.7203 | alpha=0.0804 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 41.5%W/56.0%L/2.5%D | 229s
  Ep  100000/2000000 | eps=0.7079 | alpha=0.0794 | vs Random: 98.5%W/1.5%L/0.0%D | vs Naive: 37.0%W/60.0%L/3.0%D | 240s
